frame,xmin,ymin,xmax,ymax,scaled_xmin,scaled_ymin,scaled_xmax,scaled_ymax
1,500,430,539,465,485.15625,223.95833333333334,522.9984375,242.1875
1,593,419,624,447,575.3953124999999,218.22916666666669,605.475,232.8125
1,619,414,659,446,600.6234375,215.62499999999997,639.4359375,232.29166666666669
1,721,411,769,455,699.5953125,214.0625,746.1703125,236.97916666666666
1,537,423,595,468,521.0578125000001,220.3125,577.3359375,243.75
1,827,405,893,458,802.4484375000001,210.9375,866.4890624999999,238.54166666666666
1,372,417,502,499,360.95625,217.18750000000003,487.096875,259.8958333333333
2,492,428,533,467,477.39375,222.91666666666666,517.1765624999999,243.22916666666669
2,719,410,769,455,697.6546875,213.54166666666666,746.1703125,236.97916666666666
2,613,415,656,449,594.8015624999999,216.14583333333331,636.525,233.85416666666666
2,530,426,590,469,514.265625,221.875,572.484375,244.27083333333334
2,827,406,892,459,802.4484375000001,211.45833333333334,865.5187500000001,239.06249999999997
2,352,419,490,501,341.55,218.22916666666669,475.453125,260.9375
3,588,420,619,449,570.5437499999999,218.75,600.6234375,233.85416666666666
3,612,413,654,448,593.8312500000001,215.10416666666666,634.584375,233.33333333333334
3,721,410,770,455,699.5953125,213.54166666666666,747.140625,236.97916666666666
3,524,425,586,470,508.44374999999997,221.35416666666666,568.603125,244.79166666666666
3,828,406,891,459,803.4187499999999,211.45833333333334,864.5484375,239.06249999999997
3,330,417,478,505,320.203125,217.18750000000003,463.809375,263.0208333333333
4,611,414,652,450,592.8609375,215.62499999999997,632.6437500000001,234.375
4,723,409,771,454,701.5359374999999,213.02083333333331,748.1109375,236.45833333333331
4,514,426,584,473,498.74062499999997,221.875,566.6625,246.35416666666666
4,829,407,893,459,804.3890625,211.97916666666666,866.4890624999999,239.06249999999997
4,305,420,470,510,295.9453125,218.75,456.046875,265.625
5,579,422,612,452,561.8109375,219.79166666666669,593.8312500000001,235.41666666666666
